ll: l-l
cooking: coo-king
data: da-ta
distance: dis-tance
request: re-quest
ruined: rui-ned
knowledge: know-ledge
equipment: e-qui-pment
rescue: res-cue
reports: re-ports
conference: con-ference
silence: si-lence
audience: au-dien-ce
Americans: A-me-ri-cans
mercy: mer-cy
Jesse: Jes-se
proper: pro-per
create: crea-te
universe: u-ni-verse
Francisco: Fran-cis-co
baseball: ba-seball
Harold: Ha-rold
Hercules: Her-cu-les
British: Bri-tish
outfit: ou-tfit
slowly: slow-ly
Jackie: Jac-kie
loving: lo-ving
Valley: Val-ley
Robin: Ro-bin
China: Chi-na
piano: pia-n-o
Simon: Si-mon
celebrate: ce-le-brate
uniform: u-ni-form
stealing: stea-ling
spending: spen-ding
returned: re-turned
location: lo-ca-tion
amount: a-mount
healthy: healt-hy
Central: Cen-tral
younger: yo-unger
attractive: at-trac-tive
poison: poi-son
wanting: wan-ting
naturally: na-tu-rally
happiness: hap-pi-ness
Gary: Ga-ry
anytime: a-ny-time
Betty: Bet-ty
eventually: e-ven-tual-ly
channel: chan-nel
elevator: e-le-va-tor
secure: se-cure
grandfather: gran-dfat-her
avoid: a-void
penny: pen-ny
pathetic: pat-he-tic
mirror: mir-ror
Thursday: Thurs-day
partners: par-tners
dozen: do-zen
becomes: be-comes
Ellen: El-len
direction: di-rec-tion
gorgeous: gor-geous
direct: di-rect
theater: thea-t-er
Boston: Bos-ton
committed: com-mit-ted
Morgan: Mor-gan
members: mem-bers
official: of-fi-cial
effect: ef-fect
treated: trea-ted
attacked: at-tacked
vision: vi-sion
secrets: se-crets
aside: a-side
lousy: lou-sy
unusual: u-nu-sual
extremely: ex-tre-mely
newspaper: news-pa-per
apple: ap-ple
courage: cou-rage
Tuesday: Tues-day
terribly: ter-ri-bly
fishing: fis-hing
University: U-ni-ver-si-ty
carefully: ca-re-fully
writer: wri-ter
hitting: hit-ting
pity: pi-ty
illegal: il-le-gal
protection: pro-tec-tion
staring: sta-ring
victims: vic-tims
created: crea-t-ed
appear: ap-pear
winning: win-ning
precious: pre-cious
studio: stu-d-io
windows: win-dows
kissing: kis-sing
golden: gol-den
Wilson: Wil-son
Sandy: San-dy
frightened: frigh-tened
owner: ow-ner
royal: roy-al
intend: in-tend
parties: par-ties
considered: con-si-dered
prisoner: pri-soner
Frasier: Fra-sier
popular: po-pu-lar
destiny: des-ti-ny
robbery: rob-be-ry
silent: si-lent
federal: fe-deral
violence: vio-len-ce
mystery: mys-te-ry
library: li-bra-ry
circumstances: cir-cums-tan-ces
busted: bus-ted
becoming: be-co-ming
photo: pho-to
tower: to-wer
Miller: Mil-ler
practically: prac-ti-cally
embarrassing: em-bar-ras-sing
friendship: friends-hip
wallet: wal-let
package: pac-kage
flower: flo-wer
beating: bea-ting
Elizabeth: E-li-za-beth
steady: stea-dy
results: re-sults
cleaning: clea-ning
exact: e-xact
image: i-mage
Maria: Ma-r-ia
Barbara: Bar-bara
turkey: tur-key
vehicle: ve-hi-cle
nasty: nas-ty
easily: ea-si-ly
jungle: jun-gle
sensitive: sen-si-tive
suffer: suf-fer
millions: mil-lions
remembered: re-mem-bered
ambulance: am-bu-lance
behavior: be-ha-vior
nightmare: nigh-tmare
cancer: can-cer
families: fa-milies
orange: o-range
media: me-d-ia
foreign: fo-reign
Donna: Don-na
wasting: was-ting
memories: me-mo-ries
Spanish: Spa-nish
material: ma-te-ri-al
expert: ex-pert
Charlotte: Char-lotte
cutting: cut-ting
advantage: a-dvan-tage
Inspector: Ins-pec-tor
disappointed: di-sap-poin-ted
Terry: Ter-ry
guarantee: gua-ran-tee
committee: com-mit-tee
downtown: down-town
sandwich: san-dwich
understanding: un-ders-tan-ding
Daniel: Da-niel
mistakes: mis-takes
political: po-li-ti-cal
panic: pa-nic
performance: per-for-mance
union: u-nion
Parker: Par-ker
cable: ca-ble
hundreds: hun-dreds
Objection: Ob-jec-tion
separate: se-parate
ancient: an-cient
underwear: un-der-wear
Lewis: Le-wis
moments: mo-ments
castle: cas-tle
setting: set-ting
rolling: rol-ling
delicious: de-li-cious
value: va-lue
circle: cir-cle
glory: glo-ry
miserable: mi-se-rable
manage: ma-nage
counting: coun-ting
zero: ze-ro
victory: vic-tory
Willie: Wil-lie
embarrassed: em-bar-rassed
creature: crea-ture
deny: de-ny
basketball: bas-ket-ball
continues: con-ti-nues
Nancy: Nan-cy
yelling: yel-ling
holiday: ho-li-day
hidden: hid-den
Andrew: An-drew
remove: re-move
directly: di-rec-tly
progress: pro-gress
